Group,Vehicle No,Status,DEVICE ID,DEVICE TYPE,Installation Type,Immobilize Type,Transmission,OEM,Model,Variant,Chassis No,Last comm time,GPS time,CAN Time,Odometer Calculated From,Odometer CAN,Odometer GPS,Fuel Level / SOC(%),Mobility,Ignition,Vehicle Battery,Device Battery,CAN Battery Voltage,Fixquality,Device State,OnRoad,LatLng,Battery Temperature,SOH,Charge Cycle,KWH,Current,controller Temperature,Last Location
"Magnus_SM_DVP","MCPS21500CMH10008","running","9AEFAF55E76C0512","laf","OBD","ignition","AT","Ampere","Magnus","MT80-SM","MCPM71500CHH10001","03-03-2025 09:40:38 AM","03-03-2025 09:40:38 AM","03-03-2025 09:40:35 AM","can_odometer","793073","11190","35","Active","On","13.81","4.11","13.81","1","1","true","12.743849,77.610571","","","","","-0.5","48","Bannerghatta National Park,Full Circle Skill Development Center,Krishnadoddi,Anekal,Bangalore Urban,Karnataka",
"Testing_Validation","MCPN71500CMH10020","running","19353128B40D018B","laf","OBD","ignition","AT","Ampere","Magnus","MC 100","MCPM71500CHH10004","03-03-2025 09:40:52 AM","03-03-2025 09:40:26 AM","03-03-2025 09:40:52 AM","can_odometer","14754","11138","57","Active","On","13.16","4.12","51.92","1","1","true","12.742082,77.667553","68","57","","","-17.23","N/A","Karnataka State Highway 87,Suragajakkanahalli,Surajakkanahalli,Anekal,Bangalore Urban,Karnataka",
"Testing_Validation_Nexus","MCPN23300CHH11779","location-zero","41D2EE719D313011","laf","OBD","can","AT","Ampere","Nexus","NXG","MCPN23300CHH11779","03-03-2025 07:54:07 AM","03-03-2025 07:54:04 AM","03-03-2025 07:54:05 AM","can_odometer","19455","12332","100","Active","Off","13.04","4.11","53.2","0","1","true","12.892846,77.56473","","97","339","2736","-0.65","20","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Testing_Validation","MCPM81500CHH10001","nocomm","697214C302629299","laf","OBD","can","AT","Ampere","Magnus","MC 100","MCPM81500CHH10001","03-01-2025 04:37:17 PM","03-01-2025 04:37:12 PM","03-01-2025 04:37:12 PM","can_odometer","25363","8794","38","Active","Off","13.42","4.12","52.27","0","1","true","12.892482,77.564546","","94","","","-0.67","N/A","Kanakapura Road,RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Testing_Validation","MCPM81500CHH10005","nocomm","9814DA9C979E45C0","laf","OBD","can","AT","Ampere","Magnus","MC 100","MCPM81500CHH10005","28-01-2025 11:55:24 AM","28-01-2025 11:55:23 AM","28-01-2025 11:55:24 AM","can_odometer","27724","10167","80","Active","Off","13.35","4.11","52.95","0","1","true","12.892622,77.564359","","93","","","-0.38","N/A","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Testing_Validation_Nexus","MCPN23300CHH11748","stopped","FA4A01EF4C992911","laf","OBD","ignition","AT","Ampere","Nexus","NXG","","28-02-2025 05:09:51 PM","28-02-2025 05:09:40 PM","28-02-2025 05:06:11 PM","can_odometer","2012","777","99","Active","Off","11.57","4.04","53.1","1","2","true","12.892879,77.564579","","100","26","2800","-0.03","24","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Testing_Validation_Nexus","MCPN23300CHH11678","stopped","CE39D76ADE8169CE","laf","OBD","ignition","AT","Ampere","Nexus","NXG","","03-03-2025 09:40:26 AM","03-03-2025 09:40:26 AM","03-03-2025 09:36:25 AM","can_odometer","1339","699","48","Active","Off","12","4.11","52.29","1","2","true","12.893039,77.56462","","100","19","1360","0","33","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Software_validation","MCPN33300CJH10001","stopped","89782999F3D32208","laf","OBD","can","AT","Ampere","Nexus","NXG_CAN","","03-03-2025 09:29:43 AM","03-03-2025 09:29:41 AM","03-03-2025 09:25:59 AM","can_odometer","172","459","16","Active","Off","10.58","4.11","52.28","0","2","true","12.892986,77.564701","","100","8","448","0.01","30","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Software_validation","MCPN23300CJH13518","stopped","0F6ADB116315BEE7","laf","OBD","crank & ignition","AT","Ampere","Nexus","NXG","","03-03-2025 09:35:33 AM","03-03-2025 09:35:33 AM","03-03-2025 09:17:43 AM","can_odometer","2667","2601","29","Active","Off","12.05","4.1","52.47","1","2","true","12.861157,77.664734","","100","36","816","-0.06","32","Bengaluru,Oxford Hospital,Konappana Agrahara,Electronics City Phase 1,Bangalore South,Bangalore Urban,Karnataka",
"Dominos_demo","MCPM61500CLH10005","stopped","41EBB3B779EA3EAA","laf","OBD","ignition","AT","Ampere","Magnus","MT 80","","03-03-2025 09:13:41 AM","03-03-2025 09:13:41 AM","03-03-2025 09:13:38 AM","can_odometer","1822","1619","100","Active","Off","12.46","4.12","54.35","1","2","true","28.46812,77.034145","64","100","","","0","N/A","Old Delhi Gurgaon Road,Lotus Hospital, Gurgaon,Sector 12A,Gurgaon,Gurugram",
